"关","层","难度档","敌人生命预算倍率","敌人攻击倍率","金币倍率"
"111","23","8","407781.9251452355","3.185473900568319","68.41697730270391"
"112","23","8","411044.1805463972","3.185473900568319","71.49574128132559"
"113","23","8","414332.53399076895","3.185473900568319","74.71304963898524"
"114","23","8","417647.1942626949","3.185473900568319","78.07513687273956"
"115","23","8","420988.37181679637","3.185473900568319","81.58851803201284"
"116","24","8","424356.2787913305","3.185473900568319","85.26000134345341"
"117","24","8","427751.12902166176","3.185473900568319","89.09670140390881"
"118","24","8","431173.1380538349","3.185473900568319","93.10605296708471"
"119","24","8","434622.5231582654","3.185473900568319","97.29582535060351"
"120","24","8","438099.50334353134","3.185473900568319","101.67413749138066"
"121","25","9","1959274.6329661685","3.758859202670616","106.24947367849278"
"122","25","9","1974948.830029897","3.758859202670616","111.03069999402494"
"123","25","9","1990748.4206701352","3.758859202670616","116.02708149375606"
"124","25","9","2006674.408035499","3.758859202670616","121.24830016097508"
"125","25","9","2022727.8032997823","3.758859202670616","126.70447366821895"
"126","26","9","2038909.6257261797","3.758859202670616","132.4061749832888"
"127","26","9","2055220.9027319883","3.758859202670616","138.36445285753678"
"128","26","9","2071662.669953847","3.758859202670616","144.59085323612592"
"129","26","9","2088235.9713134768","3.758859202670616","151.09744163175156"
"130","26","9","2104941.859083984","3.758859202670616","157.8968265051804"
"131","27","9","2121781.3939566547","3.758859202670616","165.0021836979135"
"132","27","9","2138755.645108311","3.758859202670616","172.42728196431958"
"133","27","9","2155865.6902691764","3.758859202670616","180.18650965271397"
"134","27","9","2173112.615791329","3.758859202670616","188.29490258708609"
"135","27","9","2190497.516717659","3.758859202670616","196.76817320350494"
"136","28","10","11755647.797797024","4.435453859151327","205.62274099766265"
"137","28","10","11849692.980179418","4.435453859151327","214.87576434255743"
"138","28","10","11944490.524020828","4.435453859151327","224.5451737379725"
"139","28","10","12040046.448213011","4.435453859151327","234.64970655618126"
"140","28","10","12136366.819798687","4.435453859151327","245.2089433512094"
"141","29","10","12233457.754357094","4.435453859151327","256.24334580201383"
"142","29","10","12331325.416391967","4.435453859151327","267.7742963631044"
"143","29","10","12429976.019723076","4.435453859151327","279.8241396994441"
"144","29","10","12529415.827880878","4.435453859151327","292.416225985919"
"145","29","10","12629651.154503942","4.435453859151327","305.5749561552854"
"146","30","10","12730688.363739945","4.435453859151327","319.3258291822732"
"147","30","10","12832533.870649882","4.435453859151327","333.6954914954755"
"148","30","10","12935194.141615054","4.435453859151327","348.71178861277184"
"149","30","10","13038675.694747992","4.435453859151327","364.40381910034654"
"150","30","10","13142985.100305993","4.435453859151327","380.8019909598621"
