sample,classId,seed,difficulty,mode,win,floor,hp,maxHp,weapon,goldEarned,doubleBossWins,flawlessBosses,level,failure
normal,knight,6788,normal,none,False,9,0,156,10,522,0,1,7,pressure
normal,knight,7797,normal,none,False,7,0,150,11,426,0,1,6,waves
normal,knight,8806,normal,none,False,9,0,198,18,957,0,1,9,pressure
normal,knight,9815,normal,none,False,12,0,174,22,1444,0,1,10,waves
normal,knight,10824,normal,none,False,12,0,168,23,1275,0,1,9,waves
normal,knight,11833,normal,none,False,9,0,156,15,713,0,1,7,pressure
normal,knight,12842,normal,none,False,9,0,162,16,891,0,1,8,pressure
normal,knight,13851,normal,none,False,5,0,144,10,361,0,1,5,waves
normal,knight,14860,normal,none,False,7,0,150,10,504,0,1,6,waves
normal,knight,15869,normal,none,False,9,0,156,15,696,0,1,7,pressure
normal,ranger,734,normal,coherent,True,15,112,201,20,1766,0,0,10,
normal,ranger,1743,normal,coherent,True,15,46,226,18,1707,0,0,10,
normal,ranger,2752,normal,coherent,True,15,163,183,25,1724,0,2,11,
normal,ranger,3761,normal,coherent,True,15,216,267,16,1581,0,1,10,
normal,ranger,4770,normal,coherent,True,15,131,185,25,1669,0,1,11,
normal,ranger,5779,normal,coherent,True,15,146,235,25,1831,0,1,11,
normal,ranger,6788,normal,coherent,True,15,161,207,20,1776,0,1,10,
normal,ranger,7797,normal,coherent,True,15,146,160,22,1689,0,3,10,
normal,ranger,8806,normal,coherent,True,15,217,239,25,1624,0,1,10,
normal,ranger,9815,normal,coherent,False,14,0,198,24,1481,0,1,10,boss_attack
normal,ranger,10824,normal,coherent,True,15,182,203,21,1680,0,0,10,
normal,ranger,11833,normal,coherent,True,15,150,150,18,1672,0,2,10,
normal,ranger,12842,normal,coherent,False,14,0,216,21,1658,0,0,10,pressure
normal,ranger,13851,normal,coherent,False,14,0,203,19,1495,0,0,10,pressure
normal,ranger,14860,normal,coherent,False,14,0,174,21,1621,0,0,10,pressure
normal,ranger,15869,normal,coherent,True,15,115,204,20,1650,0,0,10,
normal,ranger,734,normal,economy,False,14,0,164,15,2053,0,0,10,pressure
normal,ranger,1743,normal,economy,False,4,0,169,9,341,0,0,6,boss_attack
normal,ranger,2752,normal,economy,False,12,0,197,19,1711,0,0,10,waves
normal,ranger,3761,normal,economy,False,4,0,140,9,430,0,0,6,pressure
normal,ranger,4770,normal,economy,True,15,172,223,20,2310,0,0,10,
normal,ranger,5779,normal,economy,True,15,38,165,22,1787,0,0,10,
normal,ranger,6788,normal,economy,False,14,0,210,15,1745,0,0,10,pressure
normal,ranger,7797,normal,economy,False,9,0,170,13,849,0,0,8,pressure
normal,ranger,8806,normal,economy,False,12,0,274,16,1816,0,0,10,waves
normal,ranger,9815,normal,economy,False,7,0,186,11,838,0,0,7,waves
normal,ranger,10824,normal,economy,False,9,0,157,12,1089,0,0,8,boss_attack
normal,ranger,11833,normal,economy,False,9,0,152,15,973,0,0,8,boss_attack
normal,ranger,12842,normal,economy,False,9,0,165,16,919,0,0,9,boss_attack
normal,ranger,13851,normal,economy,False,4,0,146,6,315,0,0,5,boss_attack
normal,ranger,14860,normal,economy,False,6,0,146,8,685,0,0,7,boss_attack
normal,ranger,15869,normal,economy,False,9,0,156,12,921,0,0,8,boss_attack
normal,ranger,734,normal,none,False,4,0,114,8,239,0,0,5,pressure
normal,ranger,1743,normal,none,False,7,0,132,12,725,0,0,8,boss_attack
normal,ranger,2752,normal,none,False,9,0,138,11,945,0,0,9,pressure
normal,ranger,3761,normal,none,False,4,0,120,11,360,0,0,6,boss_attack
normal,ranger,4770,normal,none,False,5,0,126,10,538,0,0,7,boss_attack
normal,ranger,5779,normal,none,False,9,0,132,16,774,0,0,8,pressure
normal,ranger,6788,normal,none,False,4,0,114,8,235,0,0,5,pressure
normal,ranger,7797,normal,none,False,6,0,126,9,541,0,0,7,boss_attack
normal,ranger,8806,normal,none,False,7,0,132,17,784,0,0,8,boss_attack
normal,ranger,9815,normal,none,False,7,0,126,11,591,0,0,7,waves
normal,ranger,10824,normal,none,False,5,0,120,10,425,0,0,6,boss_attack
normal,ranger,11833,normal,none,False,7,0,126,16,605,0,0,7,boss_attack
normal,ranger,12842,normal,none,False,9,0,138,18,957,0,0,9,boss_attack
normal,ranger,13851,normal,none,False,4,0,114,8,235,0,0,5,boss_attack
normal,ranger,14860,normal,none,False,9,0,132,11,813,0,0,8,waves
normal,ranger,15869,normal,none,False,5,0,120,10,417,0,0,6,boss_attack
normal,mage,734,normal,coherent,True,15,242,258,19,1542,0,1,10,
normal,mage,1743,normal,coherent,True,15,181,186,23,1843,0,2,11,
normal,mage,2752,normal,coherent,True,15,175,213,25,1744,0,2,11,
normal,mage,3761,normal,coherent,True,15,165,240,21,1585,0,2,10,
normal,mage,4770,normal,coherent,True,15,184,219,22,1752,0,2,10,
normal,mage,5779,normal,coherent,True,15,185,185,25,1823,0,3,11,
normal,mage,6788,normal,coherent,True,15,181,181,20,1606,0,3,10,
normal,mage,7797,normal,coherent,True,15,134,134,20,1693,0,3,10,
normal,mage,8806,normal,coherent,True,15,207,207,23,1604,0,3,10,
normal,mage,9815,normal,coherent,True,15,16,189,25,1569,0,1,10,
normal,mage,10824,normal,coherent,True,15,156,161,25,1558,0,2,10,
normal,mage,11833,normal,coherent,True,15,30,191,16,1668,0,1,10,
normal,mage,12842,normal,coherent,True,15,187,223,22,1600,0,2,10,
normal,mage,13851,normal,coherent,True,15,114,236,20,1567,0,0,10,
normal,mage,14860,normal,coherent,True,15,154,154,22,1550,0,2,10,
normal,mage,15869,normal,coherent,True,15,202,204,23,1509,0,0,10,
normal,mage,734,normal,economy,False,14,0,154,17,2062,0,0,10,boss_attack
normal,mage,1743,normal,economy,False,4,0,119,9,303,0,0,6,boss_attack
normal,mage,2752,normal,economy,True,15,17,211,19,1909,0,0,10,
normal,mage,3761,normal,economy,True,15,86,190,19,2162,0,2,10,
normal,mage,4770,normal,economy,False,7,0,116,9,948,0,0,7,waves
normal,mage,5779,normal,economy,False,4,0,146,7,418,0,0,6,pressure
normal,mage,6788,normal,economy,False,9,0,146,13,1160,0,0,8,pressure
normal,mage,7797,normal,economy,True,15,46,197,17,2246,0,1,10,
normal,mage,8806,normal,economy,False,9,0,170,15,1296,0,0,9,pressure
normal,mage,9815,normal,economy,False,7,0,175,11,838,0,0,7,waves
normal,mage,10824,normal,economy,False,9,0,125,13,1004,0,0,8,pressure
normal,mage,11833,normal,economy,False,9,0,154,11,899,0,0,8,pressure
normal,mage,12842,normal,economy,False,9,0,178,14,1054,0,0,9,pressure
normal,mage,13851,normal,economy,False,4,0,116,7,315,0,0,5,boss_attack
normal,mage,14860,normal,economy,False,9,0,170,11,1031,0,0,8,pressure
normal,mage,15869,normal,economy,False,9,0,134,13,936,0,0,8,boss_attack
normal,mage,734,normal,none,False,6,0,116,10,545,0,0,7,boss_attack
normal,mage,1743,normal,none,False,4,0,110,10,333,0,0,6,pressure
normal,mage,2752,normal,none,False,9,0,128,11,951,0,0,9,pressure
normal,mage,3761,normal,none,False,9,0,128,17,924,0,0,9,pressure
normal,mage,4770,normal,none,False,7,0,116,10,618,0,0,7,waves
normal,mage,5779,normal,none,False,9,0,122,16,804,0,0,8,pressure
normal,mage,6788,normal,none,False,9,0,122,13,753,0,0,8,waves
normal,mage,7797,normal,none,False,7,0,116,14,639,0,0,7,boss_attack
normal,mage,8806,normal,none,False,9,0,152,16,848,0,0,8,waves
normal,mage,9815,normal,none,False,4,0,110,9,333,0,0,6,boss_attack
normal,mage,10824,normal,none,False,9,0,122,14,803,0,0,8,pressure
normal,mage,11833,normal,none,False,6,0,116,12,507,0,0,7,boss_attack
normal,mage,12842,normal,none,False,9,0,128,18,957,0,0,9,pressure
normal,mage,13851,normal,none,False,9,0,122,14,763,0,0,8,pressure
normal,mage,14860,normal,none,False,9,0,122,11,831,0,0,8,pressure
normal,mage,15869,normal,none,False,5,0,110,10,417,0,0,6,boss_attack
hard,knight,734,hard,coherent,True,15,236,236,20,1548,2,3,10,
hard,knight,1743,hard,coherent,True,15,206,206,25,1837,2,3,11,
hard,knight,2752,hard,coherent,True,15,222,222,25,1718,2,3,11,
hard,knight,3761,hard,coherent,True,15,256,256,16,1579,2,3,10,
hard,knight,4770,hard,coherent,True,15,168,199,21,1746,2,3,11,
hard,knight,5779,hard,coherent,True,15,210,210,25,1805,2,3,11,
hard,knight,6788,hard,coherent,True,15,174,174,22,1620,2,3,10,
hard,knight,7797,hard,coherent,True,15,174,174,21,1699,2,3,10,
hard,knight,8806,hard,coherent,True,15,182,216,24,1594,2,3,10,
hard,knight,9815,hard,coherent,True,15,256,256,24,1567,2,3,10,
hard,knight,10824,hard,coherent,True,15,206,206,25,1568,2,3,10,
hard,knight,11833,hard,coherent,True,15,234,234,18,1458,2,3,10,
hard,knight,12842,hard,coherent,True,15,228,228,21,1606,2,3,11,
hard,knight,13851,hard,coherent,True,15,237,237,19,1544,2,3,10,
hard,knight,14860,hard,coherent,True,15,218,218,22,1564,2,3,10,
hard,knight,15869,hard,coherent,True,15,194,194,23,1515,2,3,10,
hard,ranger,734,hard,coherent,False,14,0,202,16,1593,2,0,10,pressure
hard,ranger,1743,hard,coherent,True,15,228,249,21,1842,2,1,11,
hard,ranger,2752,hard,coherent,False,10,0,178,12,1139,2,0,9,boss_attack
hard,ranger,3761,hard,coherent,True,15,193,246,21,1587,2,2,10,
hard,ranger,4770,hard,coherent,True,15,147,259,25,1679,2,0,11,
hard,ranger,5779,hard,coherent,True,15,209,257,25,1821,2,1,11,
hard,ranger,6788,hard,coherent,False,5,0,140,8,405,1,0,6,boss_attack
hard,ranger,7797,hard,coherent,True,15,195,195,21,1703,2,1,11,
hard,ranger,8806,hard,coherent,False,9,0,207,13,956,1,0,9,boss_attack
hard,ranger,9815,hard,coherent,True,15,118,244,16,1680,2,0,10,
hard,ranger,10824,hard,coherent,False,4,0,120,7,255,0,0,6,pressure
hard,ranger,11833,hard,coherent,False,4,0,134,6,239,0,0,5,boss_attack
hard,ranger,12842,hard,coherent,False,9,0,138,15,976,1,0,9,pressure
hard,ranger,13851,hard,coherent,False,4,0,114,7,239,0,0,5,pressure
hard,ranger,14860,hard,coherent,False,4,0,150,7,239,0,0,5,pressure
hard,ranger,15869,hard,coherent,False,4,0,114,8,239,0,0,5,pressure
hard,mage,734,hard,coherent,True,15,211,211,20,1564,2,2,10,
hard,mage,1743,hard,coherent,True,15,58,209,23,1857,2,2,11,
hard,mage,2752,hard,coherent,True,15,228,231,25,1754,2,2,11,
hard,mage,3761,hard,coherent,True,15,176,207,19,1803,2,2,11,
hard,mage,4770,hard,coherent,True,15,248,249,20,1874,2,3,11,
hard,mage,5779,hard,coherent,True,15,215,215,24,1821,2,3,11,
hard,mage,6788,hard,coherent,True,15,149,149,22,1786,2,2,11,
hard,mage,7797,hard,coherent,True,15,167,178,21,1703,2,3,10,
hard,mage,8806,hard,coherent,True,15,196,247,23,1606,2,3,11,
hard,mage,9815,hard,coherent,True,15,27,230,17,1519,2,1,10,
hard,mage,10824,hard,coherent,True,15,143,151,24,1580,2,1,10,
hard,mage,11833,hard,coherent,True,15,6,148,16,1708,2,1,10,
hard,mage,12842,hard,coherent,True,15,63,231,23,1634,2,1,11,
hard,mage,13851,hard,coherent,False,14,0,231,20,1537,2,0,10,pressure
hard,mage,14860,hard,coherent,True,15,166,174,20,1573,2,1,10,
hard,mage,15869,hard,coherent,True,15,198,224,22,1701,2,0,11,
stationary,knight,734,normal,coherent,False,9,0,144,5,453,0,1,5,boss_attack
stationary,knight,1743,normal,coherent,False,1,0,120,1,63,0,0,1,boss_attack
stationary,knight,2752,normal,coherent,False,0,0,120,1,0,0,0,1,boss_attack
stationary,knight,3761,normal,coherent,False,2,0,126,1,95,0,0,2,boss_attack
stationary,ranger,734,normal,coherent,False,0,0,90,1,0,0,0,1,waves
stationary,ranger,1743,normal,coherent,False,0,0,90,1,4,0,0,1,boss_attack
stationary,ranger,2752,normal,coherent,False,0,0,90,1,0,0,0,1,waves
stationary,ranger,3761,normal,coherent,False,0,0,90,1,0,0,0,1,waves
stationary,mage,734,normal,coherent,False,0,0,80,1,0,0,0,1,waves
stationary,mage,1743,normal,coherent,False,0,0,80,1,4,0,0,1,waves
stationary,mage,2752,normal,coherent,False,0,0,80,1,0,0,0,1,waves
stationary,mage,3761,normal,coherent,False,0,0,80,1,0,0,0,1,waves
